Sr. No.,Symbol,Company Name,"Market capitalization 
(Rs in Lakhs)"
557,JTEKTINDIA,Jtekt India Limited,205730
558,MARKSANS,Marksans Pharma Limited,204452
559,TRIVENI,Triveni Engineering & Industries Limited,204283
560,ATFL,Agro Tech Foods Limited,203008
561,SUBROS,Subros Limited,201644
562,NEOGEN,Neogen Chemicals Limited,200864
563,AHLUCONT,Ahluwalia Contracts (India) Limited,200427
564,ORIENTCEM,Orient Cement Limited,200362
565,SUBEXLTD,Subex Limited,199792
566,JBMA,JBM Auto Limited,199388
567,BANARISUG,Bannari Amman Sugars Limited,198673
568,NEWGEN,Newgen Software Technologies Limited,198010
569,BECTORFOOD,Mrs. Bectors Food Specialities Limited,197741
570,TCI,Transport Corporation of India Limited,197491
571,OAL,Oriental Aromatics Limited,197378
572,ASTEC,Astec LifeSciences Limited,196528
573,GREENPANEL,Greenpanel Industries Limited,196388
574,SHIL,Somany Home Innovation Limited,196321
575,NIITLTD,NIIT Limited,196294
576,EVEREADY,Eveready Industries India Limited,196256
577,VESUVIUS,Vesuvius India Limited,195502
578,RENUKA,Shree Renuka Sugars Limited,194757
579,HGINFRA,H.G. Infra Engineering Limited,194275
580,GEPIL,GE Power India Limited,192943
581,BOROLTD,Borosil Limited,192691
582,KIRLOSBROS,Kirloskar Brothers Limited,190026
583,KTKBANK,The Karnataka Bank Limited,189941
584,SURYAROSNI,Surya Roshni Limited,187657
585,DAAWAT,LT Foods Limited,187109
586,MAYURUNIQ,Mayur Uniquoters Ltd,185799
587,THOMASCOOK,Thomas Cook  (India)  Limited,185733
588,MAHSEAMLES,Maharashtra Seamless Limited,184450
589,NAVNETEDUL,Navneet Education Limited,183325
590,DFMFOODS,DFM Foods Limited,183061
591,J&KBANK,The Jammu & Kashmir Bank Limited,183000
592,APARINDS,Apar Industries Limited,181891
593,SOMANYCERA,Somany Ceramics Limited,181003
594,CAMLINFINE,Camlin Fine Sciences Limited,179072
595,ADFFOODS,ADF Foods Limited,178913
596,OLECTRA,Olectra Greentech Limited,178361
597,SHRIPISTON,Shriram Pistons & Rings Limited,178127
598,HIKAL,Hikal Limited,176998
599,GMDCLTD,Gujarat Mineral Development Corporation Limited,175695
600,ACE,Action Construction Equipment Limited,175161
601,PILANIINVS,Pilani Investment and Industries Corporation Limited,174886
602,HSCL,Himadri Speciality Chemical Limited,174433
603,PDSMFL,PDS Multinational Fashions Limited,172520
604,KOLTEPATIL,Kolte - Patil Developers Limited,171884
605,PFOCUS,Prime Focus Limited,171320
606,DCAL,Dishman Carbogen Amcis Limited,170894
607,ARVIND,Arvind Limited,170501
608,DISHTV,Dish TV India Limited,170316
609,JPASSOCIAT,Jaiprakash Associates Limited,168652
610,TINPLATE,The Tinplate Company of India Limited,168044
611,SAGCEM,Sagar Cements Limited,168037
612,RKFORGE,Ramkrishna Forgings Limited,167212
613,PSPPROJECT,PSP Projects Limited,166788
614,PURVA,Puravankara Limited,166005
615,AMRUTANJAN,Amrutanjan Health Care Limited,165928
616,JAGRAN,Jagran Prakashan Limited,165205
617,INEOSSTYRO,INEOS Styrolution India Limited,163678
618,HESTERBIO,Hester Biosciences Limited,163000
619,RAMCOSYS,Ramco Systems Limited,162597
620,WELENT,Welspun Enterprises Limited,161930
621,ANANTRAJ,Anant Raj Limited,160385
622,AUTOAXLES,Automotive Axles Limited,159764
623,WSTCSTPAPR,West Coast Paper Mills Limited,159475
624,SWARAJENG,Swaraj Engines Limited,159262
625,TVTODAY,TV Today Network Limited,158361
626,SHK,S H Kelkar and Company Limited,157502
627,DBCORP,D.B.Corp Limited,157202
628,MAITHANALL,Maithan Alloys Limited,156475
629,FMGOETZE,Federal-Mogul Goetze (India) Limited.,156382
630,WABAG,VA Tech Wabag Limited,156005
631,VSTTILLERS,V.S.T Tillers Tractors Limited,154902
632,INOXWIND,Inox Wind Limited,154899
633,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,151114
634,JAICORPLTD,Jai Corp Limited,151057
635,SARDAEN,Sarda Energy & Minerals Limited,150902
636,TIDEWATER,Tide Water Oil Company (India) Limited,150643
637,LUMAXIND,Lumax Industries Limited,150213
638,SOUTHBANK,The South Indian Bank Limited,149302
639,CHEMCON,Chemcon Speciality Chemicals Limited,149288
640,STOVEKRAFT,Stove Kraft Limited,149152
641,CHENNPETRO,Chennai Petroleum Corporation Limited,149135
642,GABRIEL,Gabriel India Limited,148169
643,ORISSAMINE,The Orissa Minerals Development Company Limited,147960
644,TEJASNET,Tejas Networks Limited,147901
645,FILATEX,Filatex India Limited,147506
646,JKIL,J.Kumar Infraprojects Limited,146526
647,BOMDYEING,Bombay Dyeing & Mfg Company Limited,144987
648,MOREPENLAB,Morepen Laboratories Limited,144274
649,HMT,HMT Limited,143728
650,HIMATSEIDE,Himatsingka Seide Limited,142615
651,IIFLSEC,IIFL Securities Limited,141622
652,KIRIINDUS,Kiri Industries Limited,139963
653,NUCLEUS,Nucleus Software Exports Limited,139729
654,KSL,Kalyani Steels Limited,139100
655,DIAMONDYD,Prataap Snacks Limited,138232
656,SOTL,Savita Oil Technologies Limited,137474
657,ARVINDFASN,Arvind Fashions Limited,137124
658,CAPACITE,Capacit'e Infraprojects Limited,136971
659,TIMETECHNO,Time Technoplast Limited,136932
660,HERITGFOOD,Heritage Foods Limited,136549
661,RSYSTEMS,R Systems International Limited,135967
662,TVSSRICHAK,TVS Srichakra Limited,135913
663,SAFARI,Safari Industries (India) Limited,135718
664,ASHIANA,Ashiana Housing Limited,134695
665,GTPL,GTPL Hathway Limited,134674
666,ITDCEM,ITD Cementation India Limited,133737
667,SASKEN,Sasken Technologies Limited,131597
668,DOLLAR,Dollar Industries Limited,130702
669,APOLLOPIPE,Apollo Pipes Limited,129573
670,INDIAGLYCO,India Glycols Limited,129078
671,GANECOS,Ganesha Ecosphere Limited,128695
672,HINDOILEXP,Hindustan Oil Exploration Company Limited,128524
673,ACCELYA,Accelya Solutions India Limited,127605
674,PRAKASH,Prakash Industries Limited,127314
675,IGPL,IG Petrochemicals Limited,127306
676,PCJEWELLER,PC Jeweller Limited,126124
677,JMCPROJECT,JMC Projects (India)  Limited,126097
678,RTNPOWER,RattanIndia Power Limited,125964
679,GATI,GATI Limited,125299
680,OMAXE,Omaxe Limited,124189
681,GENUSPOWER,Genus Power Infrastructures Limited,124176
682,SANDHAR,Sandhar Technologies Limited,123602
683,PSB,Punjab & Sind Bank,123385
684,JSWISPL,JSW Ispat Special Products Limited,123021
685,NBVENTURES,Nava Bharat Ventures Limited,122471
686,CONFIPET,Confidence Petroleum India Limited,122130
687,IMFA,Indian Metals & Ferro Alloys Limited,122031
688,RPOWER,Reliance Power Limited,122023
689,HCC,Hindustan Construction Company Limited,121799
690,DHAMPURSUG,Dhampur Sugar Mills Limited,121290
691,CARERATING,CARE Ratings Limited,121086
692,3IINFOTECH,3i Infotech Limited,120441
693,KIRLOSIND,Kirloskar Industries Limited,120013
694,GEOJITFSL,Geojit Financial Services Limited,119783
695,QUICKHEAL,Quick Heal Technologies Limited,119743
696,MMFL,MM Forgings Limited,119304
697,FCONSUMER,Future Consumer Limited,119222
698,MTNL,Mahanagar Telephone Nigam Limited,118125
699,CENTRUM,Centrum Capital Limited,117113
700,MUKANDLTD,Mukand Limited,117084
701,SHARDAMOTR,Sharda Motor Industries Limited,116789
702,PFS,PTC India Financial Services Limited,115932
703,DIGISPICE,DiGiSPICE Technologies Limited,115551
704,SUNDARMHLD,Sundaram Finance Holdings Limited,114839
705,GIPCL,Gujarat Industries Power Company Limited,114573
706,DPSCLTD,DPSC Limited,113446
707,IFGLEXPOR,IFGL Refractories Limited,113127
708,SUNFLAG,Sunflag Iron And Steel Company Limited,112907
709,COSMOFILMS,Cosmo Films Limited,112725
710,ASTRAMICRO,Astra Microwave Products Limited,112292
711,NXTDIGITAL,NXTDIGITAL LIMITED,111670
712,SEAMECLTD,Seamec Limited,111463
713,VOLTAMP,Voltamp Transformers Limited,110788
714,LUMAXTECH,Lumax Auto Technologies Limited,110552
715,BODALCHEM,Bodal Chemicals Limited,110219
716,PANACEABIO,Panacea Biotec Limited,109578
717,MOLDTKPAC,Mold-Tek Packaging Limited,109122
718,SSWL,Steel Strips Wheels Limited,108978
719,WHEELS,Wheels India Limited,108892
720,SHALBY,Shalby Limited,108874
721,WONDERLA,Wonderla Holidays Limited,108712
722,JETAIRWAYS,Jet Airways (India) Limited,108429
723,ELECTCAST,Electrosteel Castings Limited,108239
724,GOCLCORP,GOCL Corporation Limited,108217
725,KCP,KCP Limited,107971
726,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,107325
727,SADBHAV,Sadbhav Engineering Limited,106889
728,KKCL,Kewal Kiran Clothing Limited,106821
729,SANGHIIND,Sanghi Industries Limited,106675
730,YAARII,Yaarii Digital Integrated Services Limited,106342
731,VIDHIING,Vidhi Specialty Food Ingredients Limited,106108
732,EXCELINDUS,Excel Industries Limited,106040
733,NRBBEARING,NRB Bearing Limited,105500
734,SMSPHARMA,SMS Pharmaceuticals Limited,105180
735,OPTIEMUS,Optiemus Infracom Limited,103878
736,DREDGECORP,Dredging Corporation of India Limited,103810
737,BFINVEST,BF Investment Limited,103774
738,MANINFRA,Man Infraconstruction Limited,103208
739,GALLISPAT,Gallantt Ispat Limited,103203
740,SESHAPAPER,Seshasayee Paper and Boards Limited,102044
741,MANALIPETC,Manali Petrochemicals Limited,101910
742,BLISSGVS,Bliss GVS Pharma Limited,101651
743,TNPL,Tamil Nadu Newsprint & Papers Limited,101428
744,USHAMART,Usha Martin Limited,100717
745,INDORAMA,Indo Rama Synthetics (India) Limited,100659
746,BANCOINDIA,Banco Products (I) Limited,100519
747,KESORAMIND,Kesoram Industries Limited,100170
748,GTLINFRA,GTL Infrastructure Limited,99973
749,HSIL,HSIL Limited,99375
750,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,99330
751,FLFL,Future Lifestyle Fashions Limited,98668
752,INSECTICID,Insecticides (India) Limited,98027
753,SHANTIGEAR,Shanthi Gears Limited,97583
754,FAIRCHEMOR,Fairchem Organics Limited,97579
755,ESTER,Ester Industries Limited,97362
756,VINDHYATEL,Vindhya Telelinks Limited,97177
757,HONDAPOWER,Honda India Power Products Limited,97013
758,JINDWORLD,Jindal Worldwide Limited,96350
759,TIIL,Technocraft Industries (India) Limited,96257
760,LGBBROSLTD,LG Balakrishnan & Bros Limited,95920
761,SHAKTIPUMP,Shakti Pumps (India) Limited,94943
762,BLS,BLS International Services Limited,94459
763,SHANKARA,Shankara Building Products Limited,93968
764,PRABHAT,Prabhat Dairy Limited,93574
765,APCOTEXIND,Apcotex Industries Limited,93139
766,BFUTILITIE,BF Utilities Limited,92662
767,HBLPOWER,HBL Power Systems Limited,92445
768,RELINFRA,Reliance Infrastructure Limited,92309
769,ONMOBILE,OnMobile Global Limited,92113
770,OCCL,Oriental Carbon & Chemicals Limited,91599
771,GLOBUSSPR,Globus Spirits Limited,91438
772,JISLJALEQS,Jain Irrigation Systems Limited,91331
773,ASHAPURMIN,Ashapura Minechem Limited,90900
774,SUVEN,Suven Life Sciences Limited,89925
775,RPSGVENT,RPSG VENTURES LIMITED,89383
776,TEXINFRA,Texmaco Infrastructure & Holdings Limited,89199
777,GUFICBIO,Gufic Biosciences Limited,89115
778,PARAGMILK,Parag Milk Foods Limited,88783
779,CIGNITITEC,Cigniti Technologies Limited,88263
780,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,87937
781,EKC,Everest Kanto Cylinder Limited,87859
782,PANAMAPET,Panama Petrochem Limited,87746
783,TIRUMALCHM,Thirumalai Chemicals Limited,87593
784,SIYSIL,Siyaram Silk Mills Limited,87366
785,ANDHRAPAP,ANDHRA PAPER LIMITED,87116
786,PNBGILTS,PNB Gilts Limited,86585
787,ARSHIYA,Arshiya Limited,86584
788,SIRCA,Sirca Paints India Limited,86570
789,POWERMECH,Power Mech Projects Limited,85896
790,CLNINDIA,Clariant Chemicals (India) Limited,85784
791,IGARASHI,Igarashi Motors India Limited,85770
792,TARC,Anant Raj Global Limited,85725
793,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,85568
794,PRICOLLTD,Pricol Limited,85317
795,IMPAL,India Motor Parts and Accessories Limited,84964
796,RANEHOLDIN,Rane Holdings Limited,84275
797,SHAREINDIA,Share India Securities Limited,83898
798,MPSLTD,MPS Limited,83555
799,INDNIPPON,India Nippon Electricals Limited,83439
800,INDIANHUME,Indian Hume Pipe Company Limited,83232
801,MAXVIL,Max Ventures and Industries Limited,82623
802,ACRYSIL,Acrysil Limited,82194
803,POKARNA,Pokarna Limited,81649
804,SATIA,Satia Industries Limited,81450
805,RADIOCITY,Music Broadcast Limited,81409
806,MARINE,Marine Electricals (India) Limited,80714
807,SRIPIPES,Srikalahasthi Pipes Limited,80485
808,THANGAMAYL,Thangamayil Jewellery Limited,80280
809,GFLLIMITED,GFL Limited,80136
810,RAJRATAN,Rajratan Global Wire Limited,79563
811,PGEL,PG Electroplast Limited,79473
812,ANDHRSUGAR,The Andhra Sugars Limited,78841
813,VISAKAIND,Visaka Industries Limited,77980
814,SMCGLOBAL,SMC Global Securities Limited,77893
815,NCLIND,NCL Industries Limited,77755
816,GMBREW,GM Breweries Limited,76163
817,ASALCBR,Associated Alcohols & Breweries Ltd.,76059
818,APTECHT,Aptech Limited,75790
819,GOLDIAM,Goldiam International Limited,75616
820,EMAMIPAP,Emami Paper Mills Limited,74958
821,MANGLMCEM,Mangalam Cement Limited,74956
822,KARDA,Karda Constructions Limited,74477
823,NACLIND,NACL Industries Limited,73876
824,SNOWMAN,Snowman Logistics Limited,73185
825,FIEMIND,Fiem Industries Limited,73175
826,GNA,GNA Axles Limited,73036
827,FOSECOIND,Foseco India Limited,73004
828,FCL,Fineotex Chemical Limited,72872
829,XCHANGING,Xchanging Solutions Limited,71633
830,TEXRAIL,Texmaco Rail & Engineering Limited,71445
831,EIHAHOTELS,EIH Associated Hotels Limited,71433
832,ELECON,Elecon Engineering Company Limited,71247
833,KINGFA,Kingfa Science & Technology (India) Limited,70761
834,AARTISURF,Aarti Surfactants Limited,70623
835,RTNINFRA,RattanIndia Infrastructure Limited,70496
836,STERTOOLS,Sterling Tools Limited,70481
837,BAJAJHIND,Bajaj Hindusthan Sugar Limited,70281
838,TTKHLTCARE,TTK Healthcare Limited,69903
839,KELLTONTEC,Kellton Tech Solutions Limited,69395
840,ENIL,Entertainment Network (India) Limited,69217
841,SADBHIN,Sadbhav Infrastructure Project Limited,68860
842,BHAGERIA,Bhageria Industries Limited,68849
843,KICL,Kalyani Investment Company Limited,68684
844,AVTNPL,AVT Natural Products Limited,68528
845,TAJGVK,Taj GVK Hotels & Resorts Limited,68501
846,AWHCL,Antony Waste Handling Cell Limited,68427
847,DCW,DCW Limited,68390
848,DATAMATICS,Datamatics Global Services Limited,67998
849,JAYNECOIND,Jayaswal Neco Industries Limited,67695
850,TAKE,Take Solutions Limited,66422
851,KITEX,Kitex Garments Limited,65669
852,SMLISUZU,SML Isuzu Limited,65477
853,APEX,Apex Frozen Foods Limited,64813
854,VADILALIND,Vadilal Industries Limited,64378
855,SUTLEJTEX,Sutlej Textiles and Industries Limited,64303
856,RPGLIFE,RPG Life Sciences Limited,64072
857,5PAISA,5Paisa Capital Limited,63713
858,SPENCERS,Spencer's Retail Limited,63638
859,BBL,Bharat Bijlee Limited,63170
860,WENDT,Wendt (India) Limited,62942
861,LIKHITHA,Likhitha Infrastructure Limited,62903
862,CEREBRAINT,Cerebra Integrated Technologies Limited,62835
863,GICHSGFIN,GIC Housing Finance Limited,62763
864,SKIPPER,Skipper Limited,62680
865,GRAVITA,Gravita India Limited,62479
866,RBL,Rane Brake Lining Limited,62093
867,CANTABIL,Cantabil Retail India Limited,61735
868,ZENTEC,Zen Technologies Limited,61541
869,TIPSINDLTD,TIPS Industries Limited,61517
870,MUTHOOTCAP,Muthoot Capital Services Limited,60206
871,NURECA,Nureca Limited,60106
872,DYNAMATECH,Dynamatic Technologies Limited,60085
873,PLASTIBLEN,Plastiblends India Limited,59801
874,SPIC,Southern Petrochemicals Industries Corporation  Limited,59768
875,UNIENTER,Uniphos Enterprises Limited,59288
876,DYNPRO,Dynemic Products Limited,59027
877,ALICON,Alicon Castalloy Limited,59014
878,KUANTUM,Kuantum Papers Limited,58903
879,DBREALTY,D B Realty Limited,58869
880,SUMMITSEC,Summit Securities Limited,58859
881,ANUP,The Anup Engineering Limited,58107
882,DECCANCE,Deccan Cements Limited,58089
883,DWARKESH,Dwarikesh Sugar Industries Limited,57997
884,BALAJITELE,Balaji Telefilms Limited,57948
885,HARITASEAT,Harita Seating Systems Limited,57215
886,NATHBIOGEN,Nath Bio-Genes (India) Limited,57050
887,KABRAEXTRU,Kabra Extrusion Technik Limited,56515
888,VSSL,Vardhman Special Steels Limited,56001
889,VHL,Vardhman Holdings Limited,55990
890,NELCAST,Nelcast Limited,55898
891,MUNJALSHOW,Munjal Showa Limited,55473
892,RGL,Renaissance Global Limited,55430
893,CENTENKA,Century Enka Limited,55391
894,KOKUYOCMLN,Kokuyo Camlin Limited,55067
895,RIIL,Reliance Industrial Infrastructure Limited,55047
896,MIRZAINT,Mirza International Limited,54799
897,PATELENG,Patel Engineering Limited,54458
898,NSIL,Nalwa Sons Investments Limited,54407
899,EXPLEOSOL,Expleo Solutions Limited,54015
900,MUNJALAU,Munjal Auto Industries Limited,53700
901,RAMKY,Ramky Infrastructure Limited,53628
902,APCL,Anjani Portland Cement Limited,53555
903,UNIDT,United Drilling Tools Limited,53306
904,TWL,Titagarh Wagons Limited,53187
905,GAYAPROJ,Gayatri Projects Limited,53164
906,EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED,53152
907,SHALPAINTS,Shalimar Paints Limited,53133
908,BALAXI,BALAXI PHARMACEUTICALS LIMITED,52450
909,ORIENTPPR,Orient Paper & Industries Limited,52198
910,ARMANFIN,Arman Financial Services Limited,51749
911,RML,Rane (Madras) Limited,51069
912,AMBIKCO,Ambika Cotton Mills Limited,50981
913,SALASAR,Salasar Techno Engineering Limited,50363
914,TFCILTD,Tourism Finance Corporation of India Limited,49722
915,JAYBARMARU,Jay Bharat Maruti Limited,49297
916,INDRAMEDCO,Indraprastha Medical Corporation Limited,49228
917,DHFL,Dewan Housing Finance Corporation Limited,49113
918,SANDESH,The Sandesh Limited,49084
919,CENTUM,Centum Electronics Limited,48685
920,SUULD,Suumaya Industries Limited,48544
921,HTMEDIA,HT Media Limited,48412
922,ALLSEC,Allsec Technologies Limited,48298
923,NBIFIN,N. B. I. Industrial Finance Company Limited,48117
924,RICOAUTO,Rico Auto Industries Limited,48026
925,STEELXIND,STEEL EXCHANGE INDIA LIMITED,47339
926,THEINVEST,The Investment Trust Of India Limited,47090
927,RCOM,Reliance Communications Limited,47014
928,MONTECARLO,Monte Carlo Fashions Limited,46906
929,NAVKARCORP,Navkar Corporation Limited,46887
930,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,45969
931,TDPOWERSYS,TD Power Systems Limited,45843
932,MANINDS,Man Industries (India) Limited,45483
933,KOPRAN,Kopran Limited,45437
934,NITINSPIN,Nitin Spinners Limited,45398
935,LINCOLN,Lincoln Pharmaceuticals Limited,44970
936,EVERESTIND,Everest Industries Limited,44814
937,PRECWIRE,Precision Wires India Limited,44786
938,SATIN,Satin Creditcare Network Limited,44649
939,STCINDIA,The State Trading Corporation of India Limited,44640
940,ASIANTILES,Asian Granito India Limited,44581
941,VISHWARAJ,Vishwaraj Sugar Industries Limited,44485
942,HMVL,Hindustan Media Ventures Limited,44056
943,RSWM,RSWM Limited,43946
944,TNPETRO,Tamilnadu PetroProducts Limited,43906
945,UNIVCABLES,Universal Cables Limited,43634
946,SANGHVIMOV,Sanghvi Movers Limited,43483
947,SORILINFRA,SORIL Infra Resources Limited,43470
948,HITECH,Hi-Tech Pipes Limited,43393
949,GULPOLY,Gulshan Polyols Limited,43187
950,UNITECH,Unitech Limited,43169
951,NELCO,NELCO Limited,43047
952,V2RETAIL,V2 Retail Limited,42921
953,INDSWFTLAB,Ind-Swift Laboratories Limited,42513
954,REPRO,Repro India Limited,42257
955,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,42246
956,BCG,Brightcom Group Limited,41881
957,AJMERA,Ajmera Realty & Infra India Limited,41748
958,NECLIFE,Nectar Lifesciences Limited,41713
959,BLKASHYAP,B. L. Kashyap and Sons Limited,41706
960,RUSHIL,Rushil Decor Limited,41678
961,TBZ,Tribhovandas Bhimji Zaveri Limited,41473
962,THEJO,Thejo Engineering Limited,41111
963,HEXATRADEX,Hexa Tradex Limited,40964
964,JAYAGROGN,Jayant Agro Organics Limited,40905
965,ADORWELD,Ador Welding Limited,40891
966,PILITA,PIL ITALICA LIFESTYLE LIMITED,40890
967,MADRASFERT,Madras Fertilizers Limited,40839
968,ORIENTHOT,Oriental Hotels Limited,40721
969,TCPLPACK,TCPL Packaging Limited,40577
970,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,40518
971,JAIBALAJI,Jai Balaji Industries Limited,40480
972,NRAIL,N R Agarwal Industries Limited,40225
973,KANORICHEM,Kanoria Chemicals & Industries Limited,39783
974,MAHEPC,Mahindra EPC Irrigation Limited,39662
975,CONTROLPR,Control Print Limited,39425
976,SPAL,S. P. Apparels Limited,39335
977,ATULAUTO,Atul Auto Limited,39223
978,HINDCOMPOS,Hindustan Composites Limited,38968
979,SHRIRAMEPC,Shriram EPC Limited,38861
980,KAYA,Kaya Limited,38702
981,ROSSELLIND,Rossell India Limited,38476
982,ZUARI,Zuari Agro Chemicals Limited,38231
983,ASAHISONG,Asahi Songwon Colors Limited,38132
984,IFBAGRO,IFB Agro Industries Limited,37801
985,SAKSOFT,Saksoft Limited,37764
986,PRECAM,Precision Camshafts Limited,37709
987,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,37678
988,NAHARSPING,Nahar Spinning Mills Limited,37526
989,KAMDHENU,Kamdhenu Limited,37508
990,DHANBANK,Dhanlaxmi Bank Limited,37446
991,DLINKINDIA,D-Link (India) Limited,37369
992,PARSVNATH,Parsvnath Developers Limited,37208
993,SCHAND,S Chand And Company Limited,37196
994,PGIL,Pearl Global Industries Limited,37164
995,AVADHSUGAR,Avadh Sugar & Energy Limited,37114
996,SASTASUNDR,Sastasundar Ventures Limited,37107
997,TI,Tilaknagar Industries Limited,36940
998,NDTV,New Delhi Television Limited,36394
999,HLVLTD,HLV LIMITED,36257
1000,FEL,Future Enterprises Limited,36167
1001,DICIND,DIC India Limited,36041
1002,JASH,Jash Engineering Limited,35732
1003,VIMTALABS,Vimta Labs Limited,35682
1004,HERCULES,Hercules Hoists Limited,35648
1005,XELPMOC,Xelpmoc Design And Tech Limited,35600
1006,AKASH,Akash Infra-Projects Limited,35470
1007,GALLANTT,Gallantt Metal Limited,35457
1008,VIPULLTD,Vipul Limited,35395
1009,REPL,Rudrabhishek Enterprises Limited,35084
1010,SREEL,Sreeleathers Limited,34924
1011,GANDHITUBE,Gandhi Special Tubes Limited,34919
1012,INFOBEAN,InfoBeans Technologies Limited,34715
1013,UTTAMSUGAR,Uttam Sugar Mills Limited,34706
1014,DVL,Dhunseri Ventures Limited,34534
1015,MAXIND,Max India Limited,34504
1016,ARVSMART,Arvind SmartSpaces Limited,34451
1017,ZOTA,Zota Health Care LImited,34016
1018,VENUSREM,Venus Remedies Limited,33916
1019,VISHNU,Vishnu Chemicals Limited,33903
1020,ZEELEARN,Zee Learn Limited,33751
1021,GOKEX,Gokaldas Exports Limited,33480
1022,KDDL,KDDL Limited,33442
1023,CYBERTECH,Cybertech Systems And Software Limited,33326
1024,URJA,Urja Global Limited,33222
1025,MANAKSIA,Manaksia Limited,33062
1026,VASCONEQ,Vascon Engineers Limited,33058
1027,BAFNAPH,Bafna Pharmaceuticals Limited,32516
1028,BIRLATYRE,Birla Tyres Limited,32511
1029,VERTOZ,Vertoz Advertising Limited,32487
1030,GENESYS,Genesys International Corporation Limited,32444
1031,HITECHGEAR,The Hi-Tech Gears Limited,32412
1032,SANGAMIND,Sangam (India) Limited,32349
1033,63MOONS,63 moons technologies limited,31955
1034,VLSFINANCE,VLS Finance Limited,31510
1035,BGRENERGY,BGR Energy Systems Limited,31499
1036,AURIONPRO,Aurionpro Solutions Limited,31236
1037,HPL,HPL Electric & Power Limited,30993
1038,UCALFUEL,Ucal Fuel Systems Limited,30937
1039,MIRCELECTR,MIRC Electronics Limited,30832
1040,SWELECTES,Swelect Energy Systems Limited,30689
1041,PPL,Prakash Pipes Limited,30532
1042,ASHIMASYN,Ashima Limited,30186
1043,ZEEMEDIA,Zee Media Corporation Limited,30131
1044,MENONBE,Menon Bearings Limited,30037
1045,GKWLIMITED,GKW Limited,30011
1046,VARDHACRLC,Vardhman Acrylics Limited,29453
1047,ORIENTBELL,Orient Bell Limited,29346
1048,GSCLCEMENT,Gujarat Sidhee Cement Limited,29283
1049,HCL-INSYS,HCL Infosystems Limited,29135
1050,ARTEMISMED,Artemis Medicare Services Limited,29113
1051,MEP,MEP Infrastructure Developers Limited,29076
1052,HINDNATGLS,Hindusthan National Glass & Industries Limited,28971
1053,MARATHON,Marathon Nextgen Realty Limited,28704
1054,MSPL,MSP Steel & Power Limited,28328
1055,ORICONENT,Oricon Enterprises Limited,28190
1056,JUBLINDS,Jubilant Industries Limited,28138
1057,CUPID,Cupid Limited,27996
1058,FSC,Future Supply Chain Solutions Limited,27734
1059,PPAP,PPAP Automotive Limited,27580
1060,RUBYMILLS,The Ruby Mills Limited,27404
1061,GANESHHOUC,Ganesh Housing Corporation Limited,27395
1062,NAHARPOLY,Nahar Poly Films Limited,27170
1063,RELCAPITAL,Reliance Capital Limited,27166
1064,GOKULAGRO,Gokul Agro Resources Limited,26643
1065,NIPPOBATRY,Indo-National Limited,26612
1066,KHADIM,Khadim India Limited,26397
1067,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,26276
1068,AHLWEST,Asian Hotels (West) Limited,26262
1069,DPABHUSHAN,D. P. Abhushan Limited,26149
1070,JINDRILL,Jindal Drilling And Industries Limited,26025
1071,BCLIND,Bcl Industries Limited,25865
1072,THEMISMED,Themis Medicare Limited,25850
1073,GUJAPOLLO,Gujarat Apollo Industries Limited,25704
1074,HARRMALAYA,Harrisons  Malayalam Limited,25681
1075,PTL,PTL Enterprises Limited,25648
1076,CHEMBOND,Chembond Chemicals Ltd,25485
1077,PROZONINTU,Prozone Intu Properties Limited,25408
1078,SREINFRA,SREI Infrastructure Finance Limited,25406
1079,GOACARBON,Goa Carbon Limited,25239
1080,TALBROAUTO,Talbros Automotive Components Limited,25160
1081,ORIENTABRA,Orient Abrasives Limited,24885
1082,INVENTURE,Inventure Growth & Securities Limited,24570
1083,RAMANEWS,Shree Rama Newsprint Limited,24562
1084,MCL,Madhav Copper Limited,24524
1085,LASA,Lasa Supergenerics Limited,24322
1086,CREST,Crest Ventures Limited,24097
1087,BRNL,Bharat Road Network Limited,24052
1088,EROSMEDIA,Eros International Media Limited,24001
1089,MODIRUBBER,Modi Rubber Limited,23964
1090,WALCHANNAG,Walchandnagar Industries Limited,23889
1091,TVSELECT,TVS Electronics Limited,23835
1092,CAREERP,Career Point Limited,23733
1093,ZUARIGLOB,Zuari Global Limited,23700
1094,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,23483
1095,KRISHANA,Krishana Phoschem Limited,23319
1096,AYMSYNTEX,AYM Syntex Limited,23241
1097,PENIND,Pennar Industries Limited,23172
1098,BIRLAMONEY,Aditya Birla Money Limited,23112
1099,PDMJEPAPER,Pudumjee Paper Products Limited,22788
1100,KOTARISUG,Kothari Sugars And Chemicals Limited,22753
1101,ALANKIT,Alankit Limited,22659
