Sr. No.,CompanyName,BSECode
674,Cdr Health Care Ltd.,523353
675,Ceat Ltd.,500878
676,Ceejay Finance Ltd.,530789
677,Ceenik Exports (india) Ltd.,531119
678,Ceeta Industries Ltd.,514171
679,Celebrity Fashions Ltd.,532695
680,Celestial Biolabs Limited,532871
681,Cenlub Industries Ltd.,522251
682,Centenial Surgical Suture Ltd.,531380
683,Centerac Technologies Ltd.,531621
684,Central Bank Of India,532885
685,Central Provinces Railways Co.ltd.,501827
686,Centron Industrial Alliance Ltd.,509499
687,Centrum Capital Ltd.,501150
688,Centum Electronics Ltd.,517544
689,Century Enka Ltd.,500280
690,Century Extrusions Ltd.,500083
691,Century Plyboards (i) Ltd.-$,532548
692,Century Textiles & Industries Ltd.,500040
693,Century Twentyfirst Portfolio Ltd.,530881
694,Cera Sanitaryware Ltd.,532443
695,Cerebra Integrated Technologies Ltd.,532413
696,Ces Limited,512341
697,Cesc Ltd.,500084
698,Cfl Capital Financial Services Ltd.,511272
699,Cg-vak Software & Exports Ltd.,531489
700,Chaman Lal Setia Exports Ltd.-$,530307
701,Chambal Breweries & Distilleries Ltd.,512301
702,Chambal Fertilisers & Chemicals Ltd.,500085
703,Champion Finsec Ltd.,504367
704,Chanakya Investments Ltd.,501270
705,Chandni Textiles Engineering Ind. Ltd,522292
706,Chandra Prabhu International Ltd.-$,530309
707,Channel Nine Entertainment Ltd.,535142
708,Charms Industries Ltd.,531327
709,Chartered Capital & Investment Ltd.,511696
710,Chartered Logistics Ltd.,531977
711,Chase Bright Steel Ltd.,504671
712,Chd Developers Ltd.-$,526917
713,Chembond Chemicals Ltd.-$,530871
714,Chemfab Alkalis Ltd.,506894
715,Chemiesynth (vapi) Ltd,539230
716,Chemo Pharma Laboratories Ltd.,506365
717,Chemtech Industrial Valves Ltd,537326
718,Chennai Ferrous Industries Ltd,539011
719,Chennai Meenakshi Multispeciality Hospital Ltd.-$,523489
720,Chennai Petroleum Corporation Ltd.,500110
721,Cheslind Textiles Ltd.,521056
722,Cheviot Co.ltd.-$,526817
723,Chhattisgarh Industries Ltd.,530495
724,Chitradurga Spintex Ltd.,521244
725,Chl Ltd.,532992
726,Choice International Ltd.,531358
727,Chokhani Securities Ltd.,511742
728,Choksi Imaging Ltd.,530427
729,Choksi Laboratories Ltd.,526546
730,Cholamandalam Investment And Finance Company Ltd,511243
731,Chordia Food Products Ltd.,519475
732,Chowgule Steamships Ltd.,501833
733,Chpl Industries Ltd,539335
734,Chromatic India Ltd.,530191
735,Cigniti Technologies Ltd.,534758
736,Cil Nova Petrochemicals Ltd.,533407
737,Cil Securities Ltd.,530829
738,Cimmco Ltd.,505230
739,Cindrella Financial Services Ltd.,531283
740,Cindrella Hotels Ltd.-$,526373
741,Cineline India Limited,532807
742,Cinemax India Ltd.,534711
743,Cinerad Communications Ltd.,530457
744,Cinevista Ltd.,532324
745,Cipla Ltd.,500087
746,Circuit Systems (india) Ltd.,532913
747,Cistro Telelink Ltd.,531775
748,Citadel Realty And Developers Ltd.,502445
749,Citiport Financial Services Ltd.,531235
750,Citizen Infoline Ltd,538786
751,Citizen Yarns Ltd.,514366
752,City Online Services Ltd,538674
753,City Union Bank Ltd.,532210
754,Cityman Ltd.,521210
755,Clariant Chemicals (india) Ltd.,506390
756,Claris Lifesciences Ltd.,533288
757,Classic Diamonds (india) Ltd.,523200
758,Classic Electricals Ltd.,512213
759,Classic Global Finance & Capital Ltd,538433
760,Clio Infotech Ltd.,530839
761,Clutch Auto Ltd.-$,505052
762,Cmc Ltd.,517326
763,Cmi Fpe Ltd.-$,500147
764,Cmi Ltd.,517330
765,Cni Research Ltd.,512018
766,Coal India Ltd.,533278
767,Coastal Corporation Ltd.,501831
768,Coastal Roadways Ltd.,520131
769,Cochin Malabar Estates & Industries Ltd.,508571
770,Cochin Minerals & Rutile Ltd.-$,513353
771,Coffee Day Enterprises Ltd,539436
772,Colgate-palmolive (india) Ltd.,500830
773,Colinz Laboratories Ltd.,531210
774,Combat Drugs Ltd.,524752
775,Comfort Commotrade Ltd.,534691
776,Comfort Fincap Ltd.,535267
777,Comfort Intech Ltd.-$,531216
778,Commercial Engineers & Body Builders Co. Ltd.,533272
779,Commex Technology Limited,532342
780,Compact Disc India Ltd.,526141
781,Competent Automobiles Co.ltd.,531041
782,Compuage Infocom Ltd.,532456
783,Compucom Software Ltd.-$,532339
784,Computer Point Ltd.,507833
785,Conart Engineers Ltd.-$,522231
786,Concord Drugs Ltd,538965
787,Concrete Credit Ltd,539266
788,Confidence Finance And Trading Limited,504340
789,Confidence Petroleum India Ltd.,526829
790,Consecutive Investment & Trading Company Ltd,539091
791,Consolidated Construction Consortium Ltd.,532902
792,Container Corporation Of India Ltd.,531344
793,Contil India Ltd.,531067
794,Continental Controls Ltd.,531460
795,Continental Petroleums Ltd.,523232
796,Continental Securities Ltd,538868
797,Control Print Ltd.-$,522295
798,Coral India Finance & Housing Ltd.,531556
799,Coral Laboratories Ltd.,524506
800,Cords Cable Industries Ltd.,532941
801,Core Education & Technologies Ltd,512199
802,Coromandel Agro Products & Oils Ltd.,507543
803,Coromandel Engineering Company Ltd.,533167
804,Coromandel International Ltd.,506395
805,Corporate Courier And Cargo Ltd.,526737
806,Corporation Bank,532179
807,Cosboard Industries Ltd.,530859
808,Cosco (india) Ltd.-$,530545
809,Cosmo Ferrites Ltd.-$,523100
810,Cosmo Films Ltd.,508814
811,Cosyn Ltd,538922
812,Country Club Hospitality & Holidays Ltd,526550
813,Country Condo's Ltd.,531624
814,Coventry Coil-o-matic (haryana) Ltd.,523415
815,Covidh Technologies Limited,534920
816,Cox & Kings Limited,533144
817,Crane Infrastructure Ltd,538770
818,Cranes Software International Ltd.,512093
819,Cranex Ltd.,522001
820,Cravatex Ltd.,509472
821,Crazy Infotech Ltd.,524388
822,Creative Eye Ltd.,532392
823,Creative Merchants Ltd,538504
824,Credit Analysis And Research Ltd.,534804
825,Crescent Leasing Ltd,539131
826,Cressanda Solutions Ltd.,512379
827,Crest Animation Studios Ltd.,526785
828,Crest Ventures Limited,511413
829,Crestchem Ltd.,526269
830,Crew B.o.s.products Ltd.,532542
831,Crimson Metal Engineering Company Ltd,526977
832,Crisil Ltd.,500092
833,Crompton Greaves Ltd.,500093
834,Crown Tours Ltd,538521
835,Csl Finance Ltd,530067
836,Css Technergy Ltd,590050
837,Ctil Ltd.,532363
838,Cubex Tubings Ltd.,526027
839,Cubical Financial Services Ltd.,511710
840,Cummins India Ltd.,500480
841,Cupid Ltd.-$,530843
842,Cupid Trades & Finance Ltd.,512361
843,Cura Technologies Ltd.,532332
844,Cybele Industries Ltd.,531472
845,Cyber Media (india) Ltd.,532640
846,Cybermate Infotek Ltd.,532271
847,Cyberscape Multimedia Ltd.,532364
848,Cybertech Systems And Software Ltd.,532173
849,Cyient Limited,532175
850,D B Corp Ltd,533151
851,D B Realty Ltd,533160
852,D&h India Ltd-$,517514
853,D-link (india) Ltd,533146
854,D.s.kulkarni Developers Ltd.,523890
855,Dabur India Ltd.,500096
856,Dai-ichi Karkaria Ltd.-$,526821
857,Daikaffil Chemicals India Ltd.,530825
858,Dalal Street Investments Ltd.,501148
859,Dalmia Bharat Ltd.,533309
860,Dalmia Bharat Sugar And Industries Ltd,500097
861,Damodar Industries Ltd.-$,521220
862,Danlaw Technologies India Ltd.-$,532329
863,Datamatics Global Services Ltd.,532528
864,Datasoft Application Software (india) Ltd.,526443
865,Daulat Securities Ltd.,530171
866,Dazzel Confindive Ltd.,531270
867,Db (international) Stock Brokers Ltd.,530393
868,Dcb Bank Limited,532772
869,Dcm Financial Services Ltd.,511611
870,Dcm Ltd.,502820
871,Dcm Shriram Industries Ltd.-$,523369
872,Dcm Shriram Limited,523367
873,Dcw Ltd.,500117
874,De Nora India Ltd.,590031
875,Deccan Bearings Ltd.,505703
876,Deccan Cements Ltd.-$,502137
877,Deccan Chronicle Holdings Ltd.,532608
878,Deccan Gold Mines Ltd.,512068
879,Deccan Polypacks Ltd.,531989
880,Decillion Finance Ltd,539190
881,Deco-mica Ltd.,531227
882,Decolight Ceramics Ltd.,532858
883,Decorous Investment & Trading Co Ltd,539405
884,Dee Kartavya Finance Ltd.,531826
885,Deep Industries Ltd.,532760
886,Deepak Fertilisers & Petrochemicals Corporation Ltd.,500645
887,Deepak Nitrite Ltd.-$,506401
888,Deepak Spinners Ltd.-$,514030
889,Delma Infrastructure Limited,512121
890,Delta Corp Ltd.,532848
891,Delta Leasing & Finance Ltd.,535486
892,Delta Magnets Ltd.,504286
893,Delton Cables Ltd.,504240
894,Deltron Ltd.,504256
895,Den Networks Ltd,533137
896,Dena Bank,532121
897,Denis Chem Lab Ltd,537536
898,Desh Rakshak Aushdhalaya Ltd.,531521
899,Deutsche Mutual Fund - Dws Fixed Term Series 50 - Plan A - Growth Option,533002
900,Deutsche Mutual Fund - Dws Fixed Term Series 50 - Plan B - Growth Option,533004
901,Devhari Exports (india) Ltd,539197
902,Devika Proteins Ltd.,531171
903,Devine Impex Ltd.,531585
904,Devinsu Trading Ltd.,512445
905,Devki Leasing & Finance Ltd.,530765
906,Dewan Housing Finance Corporation Ltd.,511072
907,Dfl Infrastructure Finance Ltd.,511393
908,Dfm Foods Ltd.,519588
909,Dhabriya Polywood Ltd,538715
910,Dhampur Sugar Mills Ltd.,500119
911,Dhampure Speciality Sugars Ltd.,531923
912,Dhanada Corporation Ltd.,531198
913,Dhanalaxmi Roto Spinners Ltd.,521216
914,Dhanlaxmi Bank Limited,532180
915,Dhanlaxmi Cotex Ltd.,512485
916,Dhanlaxmi Fabrics Ltd.,521151
917,Dhanleela Investments & Trading Company Ltd.,503637
918,Dhanuka Agritech Ltd.,507717
919,Dhanuka Commercial Ltd,538446
920,Dhanus Technologies Ltd.,532903
921,Dhanvantri Jeevan Rekha Ltd.,531043
922,Dharamsi Morarji Chemical Co.ltd.,506405
923,Dharani Finance Ltd.,511451
924,Dharani Sugars & Chemicals Ltd.,507442
925,Dhenu Buildcon Infra Ltd.,501945
926,Dhoot Industrial Finance Ltd.,526971
927,Dhp India Ltd.,531306
928,Dhruv Estates Ltd.,507886
929,Dhruva Capital Services Ltd.,531237
930,Dhunseri Investments Ltd.,533336
931,Dhunseri Petrochem Limited-$,523736
932,Dhunseri Tea & Industries Ltd,538902
933,Dhyana Finstock Ltd,538450
934,Diamant Infrastructure Limited,508860
935,Diamines & Chemicals Ltd.-$,500120
936,Diamond Infosystems Ltd.,530801
937,Diamond Power Infrastructure Limited-$,522163
938,Diana Tea Co.ltd.,530959
939,Dic India Ltd.,500089
940,Digital Electronics Ltd.,503978
941,Digjam Ltd.,503796
942,Dil Ltd.,506414
943,Diligent Industries Ltd.,531153
944,Dion Global Solutions Ltd.,526927
945,Disa India Ltd.,500068
946,Dish Tv India Ltd.,532839
947,Dishman Pharmaceuticals & Chemicals Ltd.,532526
948,Divi's Laboratories Ltd.,532488
949,Divine Multimedia (india) Ltd.,523810
950,Divinus Fabrics Ltd,538432
951,Divya Jyoti Industries Ltd.,526285
952,Divyashakti Granites Ltd.,526315
953,Djs Stock & Shares Ltd.,511636
954,Dlf Ltd.,532868
955,Dmc Education Ltd,517973
956,Dolat Investments Ltd.,505526
957,Dollex Industries Ltd.,531367
958,Dolphin Medical Services Ltd.,526504
959,Dolphin Offshore Enterprises (india) Ltd.-$,522261
960,Donear Industries Ltd.-$,512519
961,Doon Valley Rice Ltd.,531226
962,Dot Com Global Ltd.,530391
963,Dq Entertainment (international) Ltd.,533176
964,Dr.agarwal's Eye Hospital Ltd.-$,526783
965,Dr.datsons Labs Limited,533412
966,Dr.reddy's Laboratories Ltd.,500124
967,Dredging Corporation Of India Ltd.,523618
968,Dsj Communications Ltd.,526677
969,Dsp Blackrock 3 Years Close Ended Equity Fund- Direct Plan - Growth,538810
970,Dsp Blackrock 3 Years Close Ended Equity Fund-direct Plan - Dividend Payout,538811
971,Dsp Blackrock 3 Years Close Ended Equity Fund-regular- Dividend Payout,538809
972,Dsp Blackrock 3 Years Close Ended Equity Fund-regular- Growth,538808
973,Ducon Infratechnologies Ltd,534674
974,Dugar Housing Developments Ltd.,511634
975,Dujodwala Paper Chemical Ltd.-$,524276
976,Duke Offshore Ltd.,531471
977,Duncans Industries Ltd.,590063
978,Dunlop India Ltd.,509130
979,Duropack Ltd.,526355
980,Dutron Polymers Ltd.-$,517437
981,Dwarikesh Sugar Industries Ltd.,532610
982,Dynacons Systems & Solutions Ltd.,532365
983,Dynamatic Technologies Ltd.-$,505242
984,Dynamic Industries Ltd.-$,524818
985,Dynamic Portfolio Management & Services Ltd.,530779
986,Dynavision Ltd.,517238
987,Dynemic Products Ltd.,532707
988,E-land Apparel Limited,532820
989,E.com Infotech (i) Ltd.,531533
990,E.i.d.-parry (india) Ltd.,500125
991,East Buildtech Ltd.,507917
992,East Coast Steel Ltd.,520081
993,Eastern Gases Ltd.,590080
994,Eastern Silk Industries Ltd.,590022
995,Eastern Sugar & Industries Ltd.,507528
996,Eastern Treads Ltd.,531346
997,Easun Reyrolle Ltd.,532751
998,Ece Industries Ltd.-$,532491
999,Eclerx Services Ltd.,532927
1000,Eco Friendly Food Processing Park Ltd.,534839
1001,Eco Recycling Ltd.,530643
1002,Ecoboard Industries Ltd.,523732
1003,Econo Trade (india) Ltd,538708
1004,Ecoplast Ltd.-$,526703
1005,Edelweiss Financial Services Ltd.,532922
1006,Edelweiss Mutual Fund - Edelweiss Exchange Traded Scheme - Nifty ( Nifty Ees ),539142
1007,Edserv Softsystems Ltd.,533055
1008,Educomp Solutions Ltd.,532696
1009,Eduexel Infotainment Limited,526483
1010,Edynamics Solutions Ltd.,535694
1011,Effingo Textile & Trading Limited,512207
1012,Eicher Motors Ltd.,505200
1013,Eicl Ltd.-$,526560
1014,Eih Associated Hotels Ltd.-$,523127
1015,Eih Ltd.,500840
1016,Eimco Elecon (india) Ltd.,523708
1017,Ekam Leasing & Finance Co.ltd.,530581
1018,El Forge Ltd.-$,531144
1019,Elango Industries Ltd.,513452
1020,Elantas Beck India Ltd.-$,500123
1021,Elcid Investments Ltd.,503681
1022,Eldeco Housing & Industries Ltd.,523329
1023,Elder Health Care Ltd.,524830
1024,Elder Pharmaceuticals Ltd.,532322
1025,Elder Projects Ltd.,524788
1026,Elecon Engineering Co.ltd.,505700
1027,Electrosteel Castings Ltd.,500128
1028,Electrosteel Steels Ltd.,533264
1029,Electrotherm (india) Ltd.,526608
1030,Elegant Floriculture & Agrotech (india) Ltd.,526473
1031,Elegant Marbles & Grani Industries Ltd.,526705
1032,Elf Trading & Chemicals Manufacturing Ltd.,504387
1033,Elgi Equipments Ltd.,522074
1034,Elixir Capital Ltd,531278
1035,Ellenbarrie Industrial Gases Ltd.,590087
1036,Elnet Technologies Ltd.-$,517477
1037,Elpro International Ltd.,504000
1038,Ema India Ltd.,522027
1039,Emami Infrastructure Ltd.,533218
1040,Emami Ltd.-$,531162
1041,Emami Paper Mills Ltd.,533208
1042,Emco Ltd.-$,504008
1043,Emed.com Technologies Ltd,524588
1044,Emerald Leasing Finance & Investment Company Ltd,538882
1045,Emgee Cables & Communications Ltd.,530333
1046,Emkay Global Financial Services Ltd.,532737
1047,Emmbi Industries Ltd,533161
1048,Emmessar Biotech & Nutrition Ltd.,524768
1049,Emmsons International Ltd.-$,532038
1050,Empee Distilleries Ltd.,532920
1051,Empee Sugars & Chemicals Ltd.,500132
1052,Empire Industries Ltd.,509525
1053,Emporis Projects Limited,531470
1054,Empower India Ltd.,504351
1055,Enbee Trade & Finance Ltd.,512441
1056,Encash Entertainment Ltd,538684
1057,Encore Software Ltd.-$,531750
1058,Energy Development Company Ltd.,532219
1059,Engineers India Ltd.,532178
1060,Enkei Wheels (india) Ltd.,533477
1061,Ennore Coke Ltd.,512369
1062,Ensa Steel Industries Ltd.,512135
1063,Entegra Ltd.,532287
1064,Enterprise International Ltd.,526574
1065,Entertainment Network (india) Ltd.,532700
1066,Envair Electrodyne Ltd.,500246
1067,Eon Electric Ltd.,532658
1068,Epc Industrie Ltd.,523754
1069,Epic Energy Ltd.-$,530407
1070,Epsom Properties Ltd.,531155
1071,Era Buildsys Limited,531615
1072,Era Infra Engineering Ltd.-$,530323
1073,Eros International Media Ltd.,533261
1074,Erp Soft Systems Ltd.,530909
1075,Esaar (india) Ltd.,531502
1076,Esab India Ltd.,500133
1077,Escorts Finance Ltd.,511716
1078,Escorts Ltd.,500495
1079,Esha Media Research Limited,531259
1080,Eskay K'n'it (india) Ltd.,514118
1081,Esquire Money Guarantees Ltd.,512439
1082,Ess Dee Aluminium Ltd.,532787
1083,Essar Oil Ltd.,500134
1084,Essar Ports Ltd.,500630
1085,Essar Securities Ltd,533149
1086,Essar Shipping Ltd.,533704
1087,Essel Propack Ltd.,500135
1088,Esteem Bio Organic Food Processing Ltd.,534927
1089,Ester Industries Ltd.,500136
1090,Ett Ltd,537707
1091,Eureka Industries Ltd.,521137
1092,Euro Ceramics Ltd.,532823
1093,Euro Leder Fashion Ltd.,526468
1094,Euro Multivision Ltd.,533109
1095,Eurotex Industries & Exports Ltd.,521014
1096,Eveready Industries India Ltd.,531508
1097,Everest Industries Ltd.,508906
1098,Everest Kanto Cylinder Ltd.,532684
1099,Evergreen Textiles Limited,514060
1100,Everlon Synthetics Ltd.,514358
1101,Everonn Education Ltd,532876
1102,Excel Castronics Limited,526735
1103,Excel Crop Care Ltd.,532511
1104,Excel Glasses Ltd.,502223
1105,Excel Industries Ltd.,500650
1106,Excel Realty N Infra Ltd,533090
1107,Exdon Trading Co.ltd.,512017
1108,Exelon Infrastructure Ltd.,530337
1109,Exide Industries Ltd.,500086
1110,Exotic Coal Ltd.,531320
1111,Explicit Finance Ltd.,530571
1112,Expo Gas Containers Ltd.,526614
1113,Extol Commercial Ltd.,512163
1114,Facor Alloys Ltd.,532656
1115,Facor Steels Ltd.,532657
1116,Fact Enterprise Ltd.,511668
1117,Fag Bearings India Ltd.,505790
1118,Fair Deal Filaments Ltd.-$,514474
1119,Falcon Tyres Ltd.-$,509527
1120,Farmax India Limited-$,590094
1121,Farry Industries Ltd.,531252
1122,Fast Track Entertainment Ltd.,532084
1123,Faze Three Ltd.-$,530079
1124,Fcs Software Solutions Ltd.,532666
1125,Fdc Ltd.,531599
1126,Fe (india) Ltd,530863
1127,Fedders Lloyd Corporation Ltd.,500139
1128,Federal Bank Ltd.,500469
1129,Federal-mogul Goetze (india) Ltd.,505744
1130,Fenoplast Ltd.-$,526689
1131,Ferro Alloys Corporation Ltd.,500141
1132,Fertilizers & Chemicals Travancore Ltd.,590024
1133,Fervent Synergies Ltd.,533896
1134,Fgp Ltd.,500142
1135,Fiberweb (india) Ltd.,507910
1136,Fiem Industries Ltd.,532768
1137,Filatex Fashions Ltd.,532022
1138,Filatex India Ltd.-$,526227
1139,Filmcity Media Ltd.,531486
1140,Filtra Consultants And Engineers Ltd,539098
1141,Filtron Engineers Ltd.,531191
1142,Finalysis Credit & Guarantee Co.ltd.,531820
1143,Financial Technologies (india) Ltd.,526881
1144,Finaventure Capital Ltd.,512219
1145,Fine-line Circuits Ltd.,517264
1146,Fineotex Chemical Ltd.,533333
1147,Finkurve Financial Services Ltd,508954
1148,Finolex Cables Ltd.,500144
1149,Finolex Industries Ltd.,500940
1150,Fintech Communications Ltd.,531754
1151,First Custodian Fund (india) Ltd.,511122
1152,First Financial Services Ltd.,511369
1153,First Leasing Co.of India Ltd.,500145
1154,First Winner Industries Ltd.,532996
1155,Firstobject Technologies Ltd.,532379
1156,Firstsource Solutions Ltd.,532809
1157,Fischer Chemic Ltd.,524743
1158,Five X Finance & Investment Ltd,536751
1159,Flawless Diamond (india) Ltd.,523576
1160,Flex Foods Ltd.-$,523672
1161,Flexituff International Ltd.,533638
1162,Flora Textiles Ltd.,530705
1163,Florence Investech Limited-$,532518
1164,Fluidomat Ltd.,522017
1165,Focus Industrial Resources Ltd.,534757
1166,Fomento Resorts & Hotels Ltd.,503831
1167,Foods & Inns Ltd.,507552
1168,Forbes & Company Ltd.-$,502865
1169,Force Motors Ltd.-$,500033
1170,Fortis Healthcare Ltd.,532843
1171,Fortis Malar Hospitals Limited,523696
1172,Fortune Financial Services (india) Ltd.,530023
1173,Fortune International Ltd.,530213
1174,Foseco India Ltd.,500150
1175,Foundry Fuel Products Ltd.,513579
1176,Fourth Generation Information Systems Ltd.,532403
1177,Fraser And Company Ltd,539032
1178,Fresenius Kabi Oncology Ltd.,532545
1179,Freshtrop Fruits Ltd.,530077
1180,Frontier Capital Ltd,508980
1181,Frontier Informatics Limited,531225
1182,Frontier Springs Ltd.,522195
1183,Frontline Business Solutions Ltd.,521167
1184,Frontline Securities Ltd.,533213
1185,Fruition Venture Ltd,538568
1186,Fulford (india) Ltd.-$,506803
1187,Funny Software Ltd,539169
1188,Funworld & Tourism Development Ltd.,531854
1189,Fusion Fittings (i) Ltd.,531760
1190,Future Consumer Enterprise Limited,533400
1191,Future Enterprises Ltd,523574
1192,Future Enterprises Ltd,570002
1193,Future Lifestyle Fashions Ltd,536507
1194,Future Market Networks Ltd.,533296
1195,Futuristic Securities Ltd.,523113
1196,Futuristic Solutions Ltd.,534063
1197,G-tech Info-training Ltd.,532139
1198,G.d.trading & Agencies Ltd.,504346
1199,G.g.dandekar Machine Works Ltd.,505250
1200,G.k.consultants Ltd.,531758
1201,G.m.breweries Ltd.,507488
1202,G.s.auto International Ltd.,513059
1203,Gabriel India Ltd.-$,505714
1204,Gaekwar Mills Ltd.,502850
1205,Gagan Gases Ltd.,524624
1206,Gagan Polycot India Ltd.,531196
1207,Gail (india) Ltd.,532155
1208,Gajanan Securities Services Ltd,538609
1209,Gajra Bevel Gears Ltd.-$,505711
1210,Gala Print City Ltd,539228
1211,Galada Finance Ltd,538881
1212,Galada Power & Telecommunication Ltd.,504697
1213,Galaxy Agrico Exports Ltd.,531911
1214,Galaxy Bearings Ltd.,526073
1215,Galaxy Consolidated Finance Ltd.,511128
1216,Galaxy Entertainment Corporation Ltd.-$,506186
1217,Gallantt Ispat Ltd.,533265
1218,Gallantt Metal Ltd.,532726
1219,Gamma Infoway Exalt Ltd.,517391
1220,Gammon India Ltd.,509550
1221,Gammon Infrastructure Projects Ltd.,532959
1222,Gandhi Special Tubes Ltd.-$,513108
1223,Gandhinagar Hotels Ltd.,530237
1224,Gandhinagar Leasing & Finance Ltd.,511489
1225,Ganesh Benzoplast Ltd.,500153
1226,Ganesh Holdings Ltd.,504397
1227,Ganesh Housing Corporation Ltd.-$,526367
1228,Ganesha Ecosphere Ltd.,514167
1229,Ganga Papers India Ltd.,531813
1230,Gangotri Iron & Steel Company Ltd.,530945
1231,Gangotri Textiles Ltd.,521176
1232,Ganon Trading Finance Co.ltd.,512443
1233,Garden Silk Mills Ltd.,500155
1234,Garg Furnace Ltd.,530615
1235,Garnet Construction Ltd.,526727
1236,Garnet International Ltd.,512493
1237,Garodia Chemicals Ltd.,530161
1238,Garwarbbph,536591
1239,Garware Marine Industries Ltd.,509563
1240,Garware Polyester Ltd.,500655
1241,Garware Synthetics Ltd.,514400
1242,Garware-wall Ropes Ltd.,509557
1243,Gateway Distriparks Ltd.,532622
1244,Gati Ltd.,532345
1245,Gayatri Bioorganics Ltd.,524564
1246,Gayatri Projects Ltd.,532767
1247,Gayatri Sugars Ltd.,532183
1248,Gayatri Tissue & Papers Ltd.,512479
1249,Gcm Capital Advisors Ltd,538319
1250,Gcm Commodity & Derivatives Ltd,535917
1251,Gcm Securities Ltd,535431
1252,Gdl Leasing & Finance Ltd.,530855
1253,Gee Gee Granites Ltd.,515097
1254,Gee Ltd.,504028
1255,Geecee Ventures Limited,532764
1256,Geefcee Finance Ltd.,530389
1257,Gei Industrial Systems Ltd.,530743
1258,Gem Spinners India Ltd.,521133
1259,Gemini Communication Ltd.,532318
1260,Gemmia Oiltech (india) Ltd.,511652
1261,Gemstone Investments Ltd.,531137
1262,Genera Agri Corp Ltd.,590133
1263,Genesys International Corporation Ltd.,506109
1264,Gennex Laboratories Ltd.,531739
1265,Genomic Valley Biotech Ltd,539206
1266,Genus Commu-trade Ltd.,531939
1267,Genus Paper & Boards Ltd,538961
1268,Genus Power Infrastructures Ltd.-$,530343
1269,Geodesic Ltd.,503699
1270,Geojit Bnp Paribas Financial Services Ltd.,532285
1271,Geometric Ltd.,532312
1272,Geshipbbph,536105
1273,Gfl Financials India Limited,531055
1274,Ghcl Ltd.,500171
1275,Gi Engineering Solutions Ltd.,533048
1276,Gic Housing Finance Ltd.,511676
1277,Gilada Finance & Investments Ltd,538788
1278,Gillanders Arbuthnot & Co.ltd.,532716
1279,Gillette India Ltd.,507815
1280,Gini Silk Mills Ltd.-$,531744
1281,Ginni Filaments Ltd.,590025
1282,Girdharilal Sugar & Allied Industries Ltd.,507506
1283,Gita Renewable Energy Ltd,539013
1284,Gitanjali Gems Ltd.,532715
1285,Givo Ltd.,531613
1286,Gkb Ophthalmics Ltd.,533212
1287,Glance Finance Ltd.,531199
1288,Glaxosmithkline Consumer Healthcare Ltd.,500676
1289,Glaxosmithkline Pharmaceuticals Ltd.,500660
1290,Glenmark Pharmaceuticals Ltd.,532296
1291,Glittek Granites Ltd.,513528
1292,Global Capital Markets Ltd.,530263
1293,Global Infratech & Finance Limited,531463
1294,Global Land Masters Corporation Ltd.,531479
1295,Global Offshore Services Ltd.-$,501848
1296,Global Securities Ltd.,530657
1297,Global Vectra Helicorp Ltd.,532773
1298,Globus Constructors & Developers Limited,526025
1299,Globus Corporation Ltd.-$,531904
1300,Globus Spirits Ltd.,533104
1301,Glodyne Technoserve Ltd.,532672
1302,Glory Polyfilms Ltd.,532857
1303,Gloster Ltd,538595
1304,Gloster Ltd.,590085
1305,Gmm Pfaudler Ltd.,505255
1306,Gmr Infrastructure Ltd.,532754
1307,Goa Carbon Ltd.-$,509567
1308,Gocl Corporation Ltd-$,506480
1309,Godavari Drugs Ltd.,530317
1310,Godawari Power & Ispat Ltd.,532734
1311,Godfrey Phillips India Ltd.,500163
1312,Godrej Consumer Products Ltd.,532424
1313,Godrej Industries Ltd.,500164
1314,Godrej Properties Ltd,533150
1315,Goenka Business & Finance Ltd,538787
1316,Goenka Diamond & Jewels Ltd.,533189
1317,Gogia Capital Services Limited,531600
1318,Gokak Textiles Ltd.,532957
1319,Gokaldas Exports Ltd.,532630
1320,Gokul Refoils & Solvent Ltd.,532980
1321,Gol Offshore Ltd.,532786
1322,Gold Coin Health Foods Ltd,538542
1323,Gold Line International Finvest Ltd,538180
1324,Gold Rock Investments Ltd.,501111
1325,Goldcrest Corporation Limited,505576
1326,Golden Carpets Ltd.,531928
1327,Golden Goenka Fincorp Limited,530579
1328,Golden Legand Leasing & Finance Ltd.,509024
1329,Golden Tobacco Ltd.,500151
1330,Goldiam International Ltd.,526729
1331,Goldman Sachs Banking Index Exchange Traded Scheme,590106
1332,Goldman Sachs Mutual Fund- Cpse Etf-growth Option,538057
1333,Goldman Sachs Nifty Exchange Traded Scheme,590103
1334,Goldman Sachs Nifty Junior Exchange Traded Scheme,590104
1335,Goldman Sachs Psu Bank Exchange Traded Scheme,590108
1336,Goldman Sachs S&p Cnx Nifty Shariah Index Exchange Traded Scheme,590109
1337,Goldstone Infratech Ltd.,532439
1338,Goldstone Technologies Ltd.,531439
1339,Golechha Global Finance Ltd.,531360
1340,Golkonda Aluminium Extrusions Ltd-$,513309
1341,Golkunda Diamonds & Jewellery Ltd.,523676
1342,Gontermann-peipers (india) Ltd.,504701
1343,Goodluck Steel Tubes Ltd.,530655
1344,Goodricke Group Ltd.,500166
1345,Goodyear India Ltd.,500168
1346,Gopal Iron & Steels Co.(gujarat) Ltd.,531913
1347,Gopala Polyplast Ltd.,526717
1348,Goplee Infotech Ltd.,531419
